problem_id,domain,num_agents,total_time_ms,total_plan_length,total_nodes_expanded,total_heuristic_calls,total_applicable_actions,total_nodes_generated,total_objects,translator_variables,translator_derived_variables,translator_facts,translator_goal_facts,translator_operators,translator_axioms,translator_task_size,avg_time_per_agent,avg_plan_length_per_agent,avg_nodes_expanded_per_agent,avg_heuristic_calls_per_agent,avg_applicable_actions_per_agent,avg_nodes_generated_per_agent
1710acc0-c93f-46db-91b1-d8f2dae4a64d_6a_15l,multi_agent_movement,6,0.2718,12,12,12,12,12,15,15,0,104,6,84,0,188,.04530000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
18b262ce-45c3-4bad-b518-f723789347ba_6a_7l,multi_agent_movement,6,0.19799999999999998,11,11,11,11,11,7,7,0,48,6,36,0,84,.03299999999999999666,1.83333333333333333333,1.83333333333333333333,1.83333333333333333333,1.83333333333333333333,1.83333333333333333333
190a45dd-f1ee-4b6d-9cc0-9511e9aea221_5a_15l,multi_agent_movement,5,0.21020000000000003,10,10,10,10,10,15,15,0,89,5,70,0,159,.04204000000000000600,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
1a684ab0-72b7-4eaf-be80-62df9b292696_6a_11l,multi_agent_movement,6,0.22089999999999999,12,12,12,12,12,11,11,0,76,6,60,0,136,.03681666666666666500,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
1e8e1934-fabc-4317-a693-a47f2b403cdb_3a_15l,multi_agent_movement,3,0.0939,6,6,6,6,6,15,15,0,59,3,42,0,101,.03130000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
2080f060-d9c1-411e-91cd-9aa42084d628_1a_14l,multi_agent_movement,1,0.0162,2,2,2,2,2,14,14,0,27,1,13,0,40,.01620000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
22f7a8b7-d0ec-46bd-8774-ab5d83071f73_2a_12l,multi_agent_movement,2,0.042,4,4,4,4,4,12,12,0,35,2,22,0,57,.02100000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
24973541-4a4b-4389-be69-476c4cc1b0d7_4a_17l,multi_agent_movement,4,0.1301,8,8,8,8,8,17,17,0,84,4,64,0,148,.03252500000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
24d36959-f367-4cc3-8acd-a585d77ec0f1_2a_12l,multi_agent_movement,2,0.041,4,4,4,4,4,12,12,0,35,2,22,0,57,.02050000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
27d25bd5-7ec4-4cdf-bd9c-141a4d89a5e3_5a_11l,multi_agent_movement,5,0.1702,10,10,10,10,10,11,11,0,65,5,50,0,115,.03404000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
29541d9e-842d-435a-848d-61737969a3af_1a_15l,multi_agent_movement,1,0.0248,2,2,2,2,2,15,15,0,29,1,14,0,43,.02480000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
2a81e9b5-0ed2-4b2b-9080-804619f62ef3_1a_15l,multi_agent_movement,1,0.0169,2,2,2,2,2,15,15,0,29,1,14,0,43,.01690000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
2baf0a0b-c74f-4aae-8f50-78c7c2c754b5_4a_12l,multi_agent_movement,4,0.1218,8,8,8,8,8,12,12,0,59,4,44,0,103,.03045000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000,2.00000000000000000000
